账号,笔记数,视频笔记,代表作分数,代表作点赞,均分,总点赞,总收藏,总评论,命中关键词,代表作,代表作链接
硕士营养师林爸（成分党）,1,1,3016,1364,3016,1364,790,24,成分党,看懂成分表，告别盲目跟风买护肤品,https://www.xiaohongshu.com/explore/6a83d27d0000000033019d5b
summer不讲肤德,1,0,3004,1168,3004,1168,894,16,护肤干货,1分钟教你快速识别自己的肤质，护肤效率翻倍,https://www.xiaohongshu.com/explore/699e7845000000001a02c5d5
犯困蛋挞,1,0,2921,1313,2921,1313,717,58,早C晚A,开始不信 现在老实了。。。,https://www.xiaohongshu.com/explore/6a5b11fb000000000f03373e
村口梅花（爱挖宝,1,0,2915,1373,2915,1373,618,102,早C晚A,早c晚a半年后皮肤真的会变化很大吗…,https://www.xiaohongshu.com/explore/68db82e700000000040055ff
莓果露露子,1,0,2913,1202,2913,1202,761,63,早C晚A,早C晚A三个月，素颜已经无法无天!!,https://www.xiaohongshu.com/explore/69ba1a42000000001d01b9c5
糕冷德兰西,1,0,2854,1143,2854,1143,779,51,成分党,抗老最大的误区，就是一直往脸上做加法,https://www.xiaohongshu.com/explore/6aa7b7b10000000011032cc3
沉睡辣la,1,0,2805,1105,2805,1105,727,82,早C晚A,说一个新手入门早C晚A的稳妥选择！,https://www.xiaohongshu.com/explore/6aa0f77b0000000012036f5d
Wayne,1,0,2726,1207,2726,1207,707,35,敏感肌修复,全天下的脆皮敏感肌都去买这个！！！,https://www.xiaohongshu.com/explore/6a86ed49000000003b014880
智恩乔妹儿,1,0,2709,1084,2709,1084,721,61,早C晚A,把早C晚A放一块到底是谁想到的。。。,https://www.xiaohongshu.com/explore/69c66aec0000000022027d80
不芝火舞,1,0,2688,1109,2688,1109,518,181,黑眼圈改善,小女子的黑眼圈从没这样白嫩透亮过。。。,https://www.xiaohongshu.com/explore/6aaa5cd00000000011036933
鸡腿先生,1,0,2593,1471,2593,1471,504,38,油痘肌,建议油痘肌去oliveyuong 直接买10支！,https://www.xiaohongshu.com/explore/6a9a511e000000000b036df6
配方师Andy,1,0,2562,828,2562,828,513,236,成分党,成分党含泪总结：你的抗老可能第一步就错了,https://www.xiaohongshu.com/explore/6a8ffa81000000002303ce10
芊多多,1,0,2521,1142,2521,1142,601,59,早C晚A,嫌弃早C晚A刺激的！你肯定没用过这个,https://www.xiaohongshu.com/explore/6aa029cd000000002800076e
